size,fine,medium,coarse
5,0.01503311,0,0
6,0.059034422,0,0
6,0.130258059,0,0
7,0.222929642,0.033012566,0
8,0.331814278,0.145238502,0
9,0.426029925,0.264723044,0
10,0.529503599,0.371787368,0.092613104
11,0.625146447,0.475728234,0.228301958
13,0.704788328,0.562325979,0.324885871
14,0.757932832,0.619455056,0.355738286
16,0.799470983,0.669788018,0.385477014
18,0.818162021,0.70286974,0.396327181
20,0.817146506,0.71298269,0.400594684
22,0.793615534,0.702508414,0.403147883
25,0.747797907,0.673397196,0.397520705
28,0.682214413,0.629688543,0.37462898
32,0.60731278,0.575206055,0.340554844
35,0.540822518,0.524124479,0.301846178
40,0.464260208,0.464195622,0.250558445
45,0.391075217,0.408575172,0.202553859
50,0.33415761,0.364660282,0.172047064
56,0.27723193,0.317842938,0.150032671
63,0.229981448,0.275698273,0.142860946
71,0.191323287,0.238596811,0.148780623
80,0.160086187,0.206030647,0.16214728
89,0.138641366,0.181041595,0.174544317
100,0.120732234,0.155769644,0.185348387
113,0.110481213,0.135849474,0.186171966
127,0.107121803,0.123002905,0.173987796
141,0.108848895,0.118247101,0.152728369
158,0.116571352,0.120442581,0.119652128
179,0.129614922,0.131714427,0.082014242
198,0.143930996,0.148513657,0.051123094
223,0.162575433,0.175284565,0.025893977
251,0.181081035,0.207559065,0.022374049
283,0.197202141,0.242050346,0.048559764
319,0.20879371,0.274860263,0.107940595
353,0.21359767,0.298488172,0.185006648
398,0.211690869,0.317657424,0.299459095
449,0.201352305,0.325097697,0.429716786
497,0.186436883,0.3212138,0.543053658
560,0.163455094,0.305106349,0.663288899
631,0.136728051,0.278307153,0.757147691
711,0.108765674,0.243699659,0.813853426
801,0.081484162,0.20496573,0.827091252
887,0.059873614,0.171224335,0.803622393
1000,0.038250414,0.133728625,0.739822656
1127,0.021729611,0.099782896,0.645228895
1270,0.010356223,0.070266463,0.528020203
1407,0.004158542,0.049085123,0.417727873
1585,0.000620244,0.029534518,0.289413436
1786,0,0.015248815,0.175878049
1978,0,0.00670095,0.097431061
2229,0,0.001265433,0.031734843
